Frei verwendbar Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 24Jan23 XETR 76,500 19.15947 EUR XETR
2023-01-24T14:58:51.50Z 131 19.03500 EUR XETR
2023-01-24T14:59:52.60Z 60 19.01500 EUR XETR
2023-01-24T14:59:52.60Z 73 19.01500 EUR XETR
2023-01-24T15:00:31.49Z 221 19.04000 EUR XETR
2023-01-24T15:01:19.60Z 172 19.01000 EUR XETR
2023-01-24T15:02:10.18Z 134 19.02000 EUR XETR
2023-01-24T15:02:37.68Z 132 19.01000 EUR XETR
2023-01-24T15:03:09.77Z 250 19.00500 EUR XETR
2023-01-24T15:04:10.53Z 217 19.01500 EUR XETR
2023-01-24T15:05:24.80Z 133 19.00000 EUR XETR
2023-01-24T15:06:02.32Z 77 18.98000 EUR XETR
2023-01-24T15:06:57.37Z 239 18.98500 EUR XETR
2023-01-24T15:07:14.34Z 159 18.98500 EUR XETR
2023-01-24T15:08:51.49Z 202 18.99500 EUR XETR
2023-01-24T15:09:26.17Z 169 19.01000 EUR XETR
2023-01-24T15:09:32.28Z 275 19.00500 EUR XETR
2023-01-24T15:10:17.75Z 172 19.03500 EUR XETR
2023-01-24T15:12:19.48Z 271 19.04500 EUR XETR
2023-01-24T15:12:19.50Z 203 19.04000 EUR XETR
2023-01-24T15:13:20.19Z 20 19.05000 EUR XETR
2023-01-24T15:13:21.68Z 130 19.05000 EUR XETR
2023-01-24T15:14:06.26Z 133 19.05000 EUR XETR
2023-01-24T15:15:17.36Z 144 19.11000 EUR XETR
2023-01-24T15:15:46.28Z 175 19.10000 EUR XETR
2023-01-24T15:16:22.67Z 267 19.09000 EUR XETR
2023-01-24T15:17:23.90Z 190 19.09500 EUR XETR
2023-01-24T15:18:36.44Z 132 19.08500 EUR XETR
2023-01-24T15:18:43.60Z 138 19.08000 EUR XETR
2023-01-24T15:19:06.37Z 131 19.07500 EUR XETR
2023-01-24T15:19:30.96Z 137 19.06000 EUR XETR
2023-01-24T15:19:44.16Z 133 19.05000 EUR XETR
2023-01-24T15:20:26.49Z 179 19.04000 EUR XETR
2023-01-24T15:20:48.11Z 184 19.03500 EUR XETR
2023-01-24T15:22:11.81Z 131 19.04500 EUR XETR
2023-01-24T15:22:15.33Z 133 19.04000 EUR XETR
2023-01-24T15:23:40.08Z 38 19.03500 EUR XETR
2023-01-24T15:23:40.08Z 150 19.03500 EUR XETR
2023-01-24T15:24:11.39Z 60 19.03500 EUR XETR
2023-01-24T15:24:11.39Z 130 19.03500 EUR XETR
2023-01-24T15:26:00.15Z 244 19.04000 EUR XETR
2023-01-24T15:26:39.60Z 213 19.04500 EUR XETR
2023-01-24T15:26:50.42Z 160 19.04000 EUR XETR
2023-01-24T15:27:34.43Z 179 19.03000 EUR XETR
2023-01-24T15:28:21.64Z 79 19.03500 EUR XETR
2023-01-24T15:28:21.64Z 94 19.03500 EUR XETR
2023-01-24T15:29:52.93Z 274 19.04000 EUR XETR
2023-01-24T15:30:22.35Z 135 19.03500 EUR XETR
2023-01-24T15:32:24.36Z 191 19.05500 EUR XETR
2023-01-24T15:33:53.53Z 192 19.06500 EUR XETR
2023-01-24T15:34:19.19Z 154 19.06500 EUR XETR
2023-01-24T15:34:20.53Z 274 19.06500 EUR XETR
2023-01-24T15:35:57.52Z 122 19.05500 EUR XETR
2023-01-24T15:36:32.09Z 134 19.05500 EUR XETR
2023-01-24T15:37:32.30Z 226 19.05000 EUR XETR
2023-01-24T15:39:09.55Z 241 19.05000 EUR XETR
2023-01-24T15:42:19.22Z 152 19.06000 EUR XETR
2023-01-24T15:42:19.24Z 188 19.05500 EUR XETR
